item_topic,source_topic,age_segment,dt,visits
Деньги,Деньги,26-30,2019-09-24 18:58:00,5
Деньги,Деньги,26-30,2019-09-24 18:59:00,8
Деньги,Деньги,26-30,2019-09-24 19:00:00,2
Деньги,Деньги,31-35,2019-09-24 18:30:00,1
Деньги,Деньги,31-35,2019-09-24 18:31:00,1
Деньги,Деньги,31-35,2019-09-24 18:33:00,1
Деньги,Деньги,31-35,2019-09-24 18:54:00,4
Деньги,Деньги,31-35,2019-09-24 18:55:00,1
Деньги,Деньги,31-35,2019-09-24 18:56:00,4
Деньги,Деньги,31-35,2019-09-24 18:57:00,8
Деньги,Деньги,31-35,2019-09-24 18:58:00,9
Деньги,Деньги,31-35,2019-09-24 18:59:00,6
Деньги,Деньги,36-40,2019-09-24 18:28:00,1
Деньги,Деньги,36-40,2019-09-24 18:55:00,3
Деньги,Деньги,36-40,2019-09-24 18:56:00,6
Деньги,Деньги,36-40,2019-09-24 18:58:00,5
Деньги,Деньги,36-40,2019-09-24 18:59:00,6
Деньги,Деньги,36-40,2019-09-24 19:00:00,1
Деньги,Деньги,41-45,2019-09-24 18:29:00,1
Деньги,Деньги,41-45,2019-09-24 18:54:00,3
Деньги,Деньги,41-45,2019-09-24 18:55:00,2
Деньги,Деньги,41-45,2019-09-24 18:56:00,5
Деньги,Деньги,41-45,2019-09-24 18:57:00,2
Деньги,Деньги,41-45,2019-09-24 18:58:00,1
Деньги,Деньги,41-45,2019-09-24 18:59:00,1
Деньги,Деньги,45+,2019-09-24 18:56:00,2
Деньги,Деньги,45+,2019-09-24 18:57:00,2
Деньги,Деньги,45+,2019-09-24 18:58:00,2
Деньги,Дети,18-25,2019-09-24 18:28:00,1
Деньги,Дети,18-25,2019-09-24 18:29:00,2
Деньги,Дети,18-25,2019-09-24 18:30:00,2
Деньги,Дети,18-25,2019-09-24 18:31:00,5
Деньги,Дети,18-25,2019-09-24 18:32:00,10
Деньги,Дети,18-25,2019-09-24 18:33:00,3
Деньги,Дети,18-25,2019-09-24 18:53:00,1
Деньги,Дети,18-25,2019-09-24 18:54:00,11
Деньги,Дети,18-25,2019-09-24 18:55:00,33
Деньги,Дети,18-25,2019-09-24 18:56:00,66
Деньги,Дети,18-25,2019-09-24 18:57:00,72
Деньги,Дети,18-25,2019-09-24 18:58:00,71
Деньги,Дети,18-25,2019-09-24 18:59:00,61
Деньги,Дети,18-25,2019-09-24 19:00:00,15
Деньги,Дети,26-30,2019-09-24 18:30:00,2
Деньги,Дети,26-30,2019-09-24 18:31:00,1
Деньги,Дети,26-30,2019-09-24 18:53:00,4
Деньги,Дети,26-30,2019-09-24 18:54:00,6
Деньги,Дети,26-30,2019-09-24 18:55:00,12
Деньги,Дети,26-30,2019-09-24 18:56:00,33
Деньги,Дети,26-30,2019-09-24 18:57:00,25
Деньги,Дети,26-30,2019-09-24 18:58:00,25
Деньги,Дети,26-30,2019-09-24 18:59:00,33
Деньги,Дети,26-30,2019-09-24 19:00:00,9
Деньги,Дети,31-35,2019-09-24 18:28:00,1
Деньги,Дети,31-35,2019-09-24 18:30:00,4
Деньги,Дети,31-35,2019-09-24 18:31:00,2
Деньги,Дети,31-35,2019-09-24 18:33:00,1
Деньги,Дети,31-35,2019-09-24 18:34:00,3
Деньги,Дети,31-35,2019-09-24 18:52:00,1
Деньги,Дети,31-35,2019-09-24 18:53:00,1
Деньги,Дети,31-35,2019-09-24 18:54:00,9
Деньги,Дети,31-35,2019-09-24 18:55:00,18
Деньги,Дети,31-35,2019-09-24 18:56:00,20
Деньги,Дети,31-35,2019-09-24 18:57:00,42
Деньги,Дети,31-35,2019-09-24 18:58:00,24
Деньги,Дети,31-35,2019-09-24 18:59:00,30
Деньги,Дети,31-35,2019-09-24 19:00:00,12
Деньги,Дети,36-40,2019-09-24 18:28:00,1
Деньги,Дети,36-40,2019-09-24 18:30:00,2
Деньги,Дети,36-40,2019-09-24 18:33:00,1
Деньги,Дети,36-40,2019-09-24 18:53:00,1
Деньги,Дети,36-40,2019-09-24 18:54:00,6
Деньги,Дети,36-40,2019-09-24 18:55:00,17
Деньги,Дети,36-40,2019-09-24 18:56:00,16
Деньги,Дети,36-40,2019-09-24 18:57:00,21
Деньги,Дети,36-40,2019-09-24 18:58:00,33
Деньги,Дети,36-40,2019-09-24 18:59:00,21
Деньги,Дети,36-40,2019-09-24 19:00:00,5
Деньги,Дети,41-45,2019-09-24 18:28:00,1
Деньги,Дети,41-45,2019-09-24 18:30:00,1
Деньги,Дети,41-45,2019-09-24 18:31:00,1
Деньги,Дети,41-45,2019-09-24 18:32:00,1
Деньги,Дети,41-45,2019-09-24 18:54:00,1
Деньги,Дети,41-45,2019-09-24 18:55:00,7
Деньги,Дети,41-45,2019-09-24 18:56:00,1
Деньги,Дети,41-45,2019-09-24 18:57:00,13
Деньги,Дети,41-45,2019-09-24 18:58:00,10
Деньги,Дети,41-45,2019-09-24 18:59:00,7
Деньги,Дети,41-45,2019-09-24 19:00:00,1
Деньги,Дети,45+,2019-09-24 18:52:00,1
Деньги,Дети,45+,2019-09-24 18:55:00,4
Деньги,Дети,45+,2019-09-24 18:56:00,2
Деньги,Дети,45+,2019-09-24 18:57:00,4
Деньги,Дети,45+,2019-09-24 18:58:00,5
Деньги,Дети,45+,2019-09-24 18:59:00,1
Деньги,Дети,45+,2019-09-24 19:00:00,3
Деньги,Еда,18-25,2019-09-24 18:29:00,2
Деньги,Еда,18-25,2019-09-24 18:30:00,1
Деньги,Еда,18-25,2019-09-24 18:31:00,2
Деньги,Еда,18-25,2019-09-24 18:32:00,1
Деньги,Еда,18-25,2019-09-24 18:52:00,1
Деньги,Еда,18-25,2019-09-24 18:53:00,2
Деньги,Еда,18-25,2019-09-24 18:54:00,3
Деньги,Еда,18-25,2019-09-24 18:55:00,10
Деньги,Еда,18-25,2019-09-24 18:56:00,16
Деньги,Еда,18-25,2019-09-24 18:57:00,21
Деньги,Еда,18-25,2019-09-24 18:58:00,22
Деньги,Еда,18-25,2019-09-24 18:59:00,23
Деньги,Еда,18-25,2019-09-24 19:00:00,8
Деньги,Еда,26-30,2019-09-24 18:31:00,1
Деньги,Еда,26-30,2019-09-24 18:32:00,2
Деньги,Еда,26-30,2019-09-24 18:54:00,3
Деньги,Еда,26-30,2019-09-24 18:55:00,5
Деньги,Еда,26-30,2019-09-24 18:56:00,8
Деньги,Еда,26-30,2019-09-24 18:57:00,7
Деньги,Еда,26-30,2019-09-24 18:58:00,4
Деньги,Еда,26-30,2019-09-24 18:59:00,2
Деньги,Еда,31-35,2019-09-24 18:54:00,2
Деньги,Еда,31-35,2019-09-24 18:55:00,1
Деньги,Еда,31-35,2019-09-24 18:56:00,4
Деньги,Еда,31-35,2019-09-24 18:57:00,7
Деньги,Еда,31-35,2019-09-24 18:58:00,3
Деньги,Еда,31-35,2019-09-24 18:59:00,4
Деньги,Еда,31-35,2019-09-24 19:00:00,1
Деньги,Еда,36-40,2019-09-24 18:57:00,9
Деньги,Еда,36-40,2019-09-24 18:58:00,2
Деньги,Еда,36-40,2019-09-24 18:59:00,1
Деньги,Еда,36-40,2019-09-24 19:00:00,5
Деньги,Еда,41-45,2019-09-24 18:54:00,1
Деньги,Еда,41-45,2019-09-24 18:55:00,1
Деньги,Еда,41-45,2019-09-24 18:57:00,1
Деньги,Еда,41-45,2019-09-24 19:00:00,1
Деньги,Еда,45+,2019-09-24 18:55:00,1
Деньги,Еда,45+,2019-09-24 18:57:00,2
Деньги,Еда,45+,2019-09-24 18:58:00,3
Деньги,Здоровье,18-25,2019-09-24 18:31:00,2
Деньги,Здоровье,18-25,2019-09-24 18:54:00,3
Деньги,Здоровье,18-25,2019-09-24 18:55:00,5
Деньги,Здоровье,18-25,2019-09-24 18:56:00,3
Деньги,Здоровье,18-25,2019-09-24 18:57:00,7
Деньги,Здоровье,18-25,2019-09-24 18:58:00,6
Деньги,Здоровье,18-25,2019-09-24 18:59:00,6
Деньги,Здоровье,18-25,2019-09-24 19:00:00,1
Деньги,Здоровье,26-30,2019-09-24 18:54:00,3
Деньги,Здоровье,26-30,2019-09-24 18:55:00,2
Деньги,Здоровье,26-30,2019-09-24 18:57:00,2
Деньги,Здоровье,26-30,2019-09-24 18:58:00,1
Деньги,Здоровье,26-30,2019-09-24 19:00:00,1
Деньги,Здоровье,31-35,2019-09-24 18:56:00,3
Деньги,Здоровье,31-35,2019-09-24 18:57:00,4
Деньги,Здоровье,31-35,2019-09-24 18:58:00,3
Деньги,Здоровье,31-35,2019-09-24 18:59:00,1
Деньги,Здоровье,36-40,2019-09-24 18:33:00,1
Деньги,Здоровье,36-40,2019-09-24 18:57:00,2
Деньги,Здоровье,36-40,2019-09-24 18:59:00,3
Деньги,Здоровье,41-45,2019-09-24 18:55:00,1
Деньги,Здоровье,41-45,2019-09-24 18:56:00,2
Деньги,Здоровье,41-45,2019-09-24 19:00:00,1
Деньги,Здоровье,45+,2019-09-24 18:59:00,1
Деньги,Здоровье,45+,2019-09-24 19:00:00,1
Деньги,Знаменитости,18-25,2019-09-24 18:28:00,1
Деньги,Знаменитости,18-25,2019-09-24 18:29:00,3
Деньги,Знаменитости,18-25,2019-09-24 18:30:00,1
Деньги,Знаменитости,18-25,2019-09-24 18:31:00,2
Деньги,Знаменитости,18-25,2019-09-24 18:32:00,2
Деньги,Знаменитости,18-25,2019-09-24 18:33:00,2
Деньги,Знаменитости,18-25,2019-09-24 18:52:00,1
Деньги,Знаменитости,18-25,2019-09-24 18:53:00,2
Деньги,Знаменитости,18-25,2019-09-24 18:54:00,7
Деньги,Знаменитости,18-25,2019-09-24 18:55:00,23
Деньги,Знаменитости,18-25,2019-09-24 18:56:00,38
Деньги,Знаменитости,18-25,2019-09-24 18:57:00,42
Деньги,Знаменитости,18-25,2019-09-24 18:58:00,43
Деньги,Знаменитости,18-25,2019-09-24 18:59:00,44
Деньги,Знаменитости,18-25,2019-09-24 19:00:00,14
Деньги,Знаменитости,26-30,2019-09-24 18:31:00,3
Деньги,Знаменитости,26-30,2019-09-24 18:32:00,3
Деньги,Знаменитости,26-30,2019-09-24 18:54:00,5
Деньги,Знаменитости,26-30,2019-09-24 18:55:00,4
Деньги,Знаменитости,26-30,2019-09-24 18:56:00,13
Деньги,Знаменитости,26-30,2019-09-24 18:57:00,13
Деньги,Знаменитости,26-30,2019-09-24 18:58:00,21
Деньги,Знаменитости,26-30,2019-09-24 18:59:00,12
Деньги,Знаменитости,26-30,2019-09-24 19:00:00,4
Деньги,Знаменитости,31-35,2019-09-24 18:29:00,2
Деньги,Знаменитости,31-35,2019-09-24 18:31:00,4
Деньги,Знаменитости,31-35,2019-09-24 18:33:00,1
Деньги,Знаменитости,31-35,2019-09-24 18:52:00,1
Деньги,Знаменитости,31-35,2019-09-24 18:54:00,7
Деньги,Знаменитости,31-35,2019-09-24 18:55:00,15
Деньги,Знаменитости,31-35,2019-09-24 18:56:00,24
Деньги,Знаменитости,31-35,2019-09-24 18:57:00,24
Деньги,Знаменитости,31-35,2019-09-24 18:58:00,24
Деньги,Знаменитости,31-35,2019-09-24 18:59:00,20
Деньги,Знаменитости,31-35,2019-09-24 19:00:00,8
Деньги,Знаменитости,36-40,2019-09-24 18:28:00,1
Деньги,Знаменитости,36-40,2019-09-24 18:29:00,3
Деньги,Знаменитости,36-40,2019-09-24 18:30:00,1
Деньги,Знаменитости,36-40,2019-09-24 18:32:00,3
Деньги,Знаменитости,36-40,2019-09-24 18:53:00,1
Деньги,Знаменитости,36-40,2019-09-24 18:54:00,6
Деньги,Знаменитости,36-40,2019-09-24 18:55:00,6
Деньги,Знаменитости,36-40,2019-09-24 18:56:00,14
Деньги,Знаменитости,36-40,2019-09-24 18:57:00,24
Деньги,Знаменитости,36-40,2019-09-24 18:58:00,22
Деньги,Знаменитости,36-40,2019-09-24 18:59:00,16
Деньги,Знаменитости,36-40,2019-09-24 19:00:00,7
Деньги,Знаменитости,41-45,2019-09-24 18:55:00,3
Деньги,Знаменитости,41-45,2019-09-24 18:56:00,3
Деньги,Знаменитости,41-45,2019-09-24 18:57:00,15
Деньги,Знаменитости,41-45,2019-09-24 18:58:00,8
Деньги,Знаменитости,41-45,2019-09-24 18:59:00,5
Деньги,Знаменитости,45+,2019-09-24 18:29:00,1
Деньги,Знаменитости,45+,2019-09-24 18:55:00,1
Деньги,Знаменитости,45+,2019-09-24 18:56:00,1
Деньги,Знаменитости,45+,2019-09-24 18:57:00,4
Деньги,Знаменитости,45+,2019-09-24 18:58:00,9
Деньги,Знаменитости,45+,2019-09-24 18:59:00,2
Деньги,Знаменитости,45+,2019-09-24 19:00:00,2
Деньги,Интерьеры,18-25,2019-09-24 18:29:00,1
Деньги,Интерьеры,18-25,2019-09-24 18:54:00,3
Деньги,Интерьеры,18-25,2019-09-24 18:56:00,7
Деньги,Интерьеры,18-25,2019-09-24 18:57:00,4
Деньги,Интерьеры,18-25,2019-09-24 18:58:00,4
Деньги,Интерьеры,18-25,2019-09-24 18:59:00,5
Деньги,Интерьеры,18-25,2019-09-24 19:00:00,3
Деньги,Интерьеры,26-30,2019-09-24 18:55:00,5
Деньги,Интерьеры,26-30,2019-09-24 18:56:00,1
Деньги,Интерьеры,26-30,2019-09-24 18:57:00,4
Деньги,Интерьеры,26-30,2019-09-24 18:58:00,2
Деньги,Интерьеры,26-30,2019-09-24 18:59:00,3
Деньги,Интерьеры,31-35,2019-09-24 18:30:00,1
Деньги,Интерьеры,31-35,2019-09-24 18:54:00,1
Деньги,Интерьеры,31-35,2019-09-24 18:55:00,1
Деньги,Интерьеры,31-35,2019-09-24 18:56:00,2
Деньги,Интерьеры,31-35,2019-09-24 18:57:00,1
Деньги,Интерьеры,31-35,2019-09-24 18:59:00,2
Деньги,Интерьеры,31-35,2019-09-24 19:00:00,1
Деньги,Интерьеры,36-40,2019-09-24 18:56:00,4
Деньги,Интерьеры,36-40,2019-09-24 18:58:00,1
Деньги,Интерьеры,36-40,2019-09-24 18:59:00,2
Деньги,Интерьеры,41-45,2019-09-24 18:55:00,1
Деньги,Интерьеры,45+,2019-09-24 18:56:00,2
Деньги,Интерьеры,45+,2019-09-24 18:59:00,1
Деньги,Искусство,18-25,2019-09-24 18:31:00,2
Деньги,Искусство,18-25,2019-09-24 18:52:00,2
Деньги,Искусство,18-25,2019-09-24 18:54:00,1
Деньги,Искусство,18-25,2019-09-24 18:55:00,9
Деньги,Искусство,18-25,2019-09-24 18:56:00,12
Деньги,Искусство,18-25,2019-09-24 18:57:00,19
Деньги,Искусство,18-25,2019-09-24 18:58:00,17
Деньги,Искусство,18-25,2019-09-24 18:59:00,9
Деньги,Искусство,18-25,2019-09-24 19:00:00,4
Деньги,Искусство,26-30,2019-09-24 18:31:00,1
Деньги,Искусство,26-30,2019-09-24 18:32:00,1
Деньги,Искусство,26-30,2019-09-24 18:54:00,1
Деньги,Искусство,26-30,2019-09-24 18:55:00,4
Деньги,Искусство,26-30,2019-09-24 18:56:00,6
Деньги,Искусство,26-30,2019-09-24 18:57:00,9
Деньги,Искусство,26-30,2019-09-24 18:58:00,11
Деньги,Искусство,26-30,2019-09-24 18:59:00,3
Деньги,Искусство,26-30,2019-09-24 19:00:00,2
Деньги,Искусство,31-35,2019-09-24 18:32:00,1
Деньги,Искусство,31-35,2019-09-24 18:54:00,2
Деньги,Искусство,31-35,2019-09-24 18:55:00,3
Деньги,Искусство,31-35,2019-09-24 18:56:00,4
Деньги,Искусство,31-35,2019-09-24 18:57:00,1
Деньги,Искусство,31-35,2019-09-24 18:58:00,9
Деньги,Искусство,31-35,2019-09-24 18:59:00,4
Деньги,Искусство,31-35,2019-09-24 19:00:00,2
Деньги,Искусство,36-40,2019-09-24 18:29:00,1
Деньги,Искусство,36-40,2019-09-24 18:54:00,1
Деньги,Искусство,36-40,2019-09-24 18:55:00,1
Деньги,Искусство,36-40,2019-09-24 18:57:00,7
Деньги,Искусство,36-40,2019-09-24 18:58:00,4
Деньги,Искусство,36-40,2019-09-24 18:59:00,2
Деньги,Искусство,36-40,2019-09-24 19:00:00,3
Деньги,Искусство,41-45,2019-09-24 18:55:00,1
Деньги,Искусство,41-45,2019-09-24 18:56:00,1
Деньги,Искусство,41-45,2019-09-24 18:57:00,2
Деньги,Искусство,41-45,2019-09-24 18:58:00,2
Деньги,Искусство,41-45,2019-09-24 18:59:00,2
Деньги,Искусство,41-45,2019-09-24 19:00:00,1
Деньги,Искусство,45+,2019-09-24 18:29:00,1
Деньги,Искусство,45+,2019-09-24 18:55:00,1
Деньги,Искусство,45+,2019-09-24 18:57:00,1
Деньги,Искусство,45+,2019-09-24 18:58:00,1
Деньги,Искусство,45+,2019-09-24 18:59:00,1
Деньги,История,18-25,2019-09-24 18:30:00,3
Деньги,История,18-25,2019-09-24 18:31:00,1
Деньги,История,18-25,2019-09-24 18:32:00,3
Деньги,История,18-25,2019-09-24 18:33:00,1
Деньги,История,18-25,2019-09-24 18:54:00,6
Деньги,История,18-25,2019-09-24 18:55:00,6
Деньги,История,18-25,2019-09-24 18:56:00,21
Деньги,История,18-25,2019-09-24 18:57:00,22
Деньги,История,18-25,2019-09-24 18:58:00,19
Деньги,История,18-25,2019-09-24 18:59:00,21
Деньги,История,18-25,2019-09-24 19:00:00,5
Деньги,История,26-30,2019-09-24 18:29:00,1
Деньги,История,26-30,2019-09-24 18:31:00,1
Деньги,История,26-30,2019-09-24 18:32:00,1
Деньги,История,26-30,2019-09-24 18:34:00,1
Деньги,История,26-30,2019-09-24 18:54:00,2
Деньги,История,26-30,2019-09-24 18:55:00,5
Деньги,История,26-30,2019-09-24 18:56:00,5
Деньги,История,26-30,2019-09-24 18:57:00,10
Деньги,История,26-30,2019-09-24 18:58:00,6
Деньги,История,26-30,2019-09-24 18:59:00,13
Деньги,История,26-30,2019-09-24 19:00:00,2
Деньги,История,31-35,2019-09-24 18:54:00,2
Деньги,История,31-35,2019-09-24 18:55:00,4
Деньги,История,31-35,2019-09-24 18:56:00,6
Деньги,История,31-35,2019-09-24 18:57:00,10
Деньги,История,31-35,2019-09-24 18:58:00,14
Деньги,История,31-35,2019-09-24 18:59:00,16
Деньги,История,31-35,2019-09-24 19:00:00,4
Деньги,История,36-40,2019-09-24 18:30:00,1
Деньги,История,36-40,2019-09-24 18:33:00,1
Деньги,История,36-40,2019-09-24 18:34:00,1
Деньги,История,36-40,2019-09-24 18:54:00,1
Деньги,История,36-40,2019-09-24 18:55:00,3
Деньги,История,36-40,2019-09-24 18:56:00,5
Деньги,История,36-40,2019-09-24 18:57:00,6
Деньги,История,36-40,2019-09-24 18:58:00,10
Деньги,История,36-40,2019-09-24 18:59:00,2
Деньги,История,36-40,2019-09-24 19:00:00,3
Деньги,История,41-45,2019-09-24 18:54:00,1
Деньги,История,41-45,2019-09-24 18:55:00,2
Деньги,История,41-45,2019-09-24 18:56:00,2
Деньги,История,41-45,2019-09-24 18:57:00,5
Деньги,История,41-45,2019-09-24 18:58:00,6
Деньги,История,41-45,2019-09-24 18:59:00,3
Деньги,История,41-45,2019-09-24 19:00:00,2
Деньги,История,45+,2019-09-24 18:56:00,1
Деньги,История,45+,2019-09-24 18:57:00,2
Деньги,История,45+,2019-09-24 18:59:00,2
Деньги,История,45+,2019-09-24 19:00:00,1
Деньги,Кино,18-25,2019-09-24 18:28:00,1
Деньги,Кино,18-25,2019-09-24 18:29:00,1
Деньги,Кино,18-25,2019-09-24 18:30:00,3
Деньги,Кино,18-25,2019-09-24 18:32:00,1
Деньги,Кино,18-25,2019-09-24 18:33:00,2
Деньги,Кино,18-25,2019-09-24 18:52:00,1
Деньги,Кино,18-25,2019-09-24 18:53:00,2
Деньги,Кино,18-25,2019-09-24 18:54:00,17
Деньги,Кино,18-25,2019-09-24 18:55:00,44
Деньги,Кино,18-25,2019-09-24 18:56:00,71
Деньги,Кино,18-25,2019-09-24 18:57:00,79
Деньги,Кино,18-25,2019-09-24 18:58:00,74
Деньги,Кино,18-25,2019-09-24 18:59:00,82
Деньги,Кино,18-25,2019-09-24 19:00:00,19
Деньги,Кино,26-30,2019-09-24 18:29:00,2
Деньги,Кино,26-30,2019-09-24 18:30:00,1
Деньги,Кино,26-30,2019-09-24 18:31:00,1
Деньги,Кино,26-30,2019-09-24 18:32:00,1
Деньги,Кино,26-30,2019-09-24 18:52:00,3
Деньги,Кино,26-30,2019-09-24 18:53:00,4
Деньги,Кино,26-30,2019-09-24 18:54:00,6
Деньги,Кино,26-30,2019-09-24 18:55:00,22
Деньги,Кино,26-30,2019-09-24 18:56:00,47
Деньги,Кино,26-30,2019-09-24 18:57:00,46
Деньги,Кино,26-30,2019-09-24 18:58:00,57
Деньги,Кино,26-30,2019-09-24 18:59:00,30
Деньги,Кино,26-30,2019-09-24 19:00:00,16
Деньги,Кино,31-35,2019-09-24 18:28:00,1
Деньги,Кино,31-35,2019-09-24 18:30:00,4
Деньги,Кино,31-35,2019-09-24 18:31:00,1
Деньги,Кино,31-35,2019-09-24 18:34:00,1
Деньги,Кино,31-35,2019-09-24 18:53:00,2
Деньги,Кино,31-35,2019-09-24 18:54:00,8
Деньги,Кино,31-35,2019-09-24 18:55:00,19
Деньги,Кино,31-35,2019-09-24 18:56:00,29
Деньги,Кино,31-35,2019-09-24 18:57:00,34
Деньги,Кино,31-35,2019-09-24 18:58:00,22
Деньги,Кино,31-35,2019-09-24 18:59:00,31
Деньги,Кино,31-35,2019-09-24 19:00:00,11
Деньги,Кино,36-40,2019-09-24 18:29:00,1
Деньги,Кино,36-40,2019-09-24 18:30:00,1
Деньги,Кино,36-40,2019-09-24 18:32:00,5
Деньги,Кино,36-40,2019-09-24 18:33:00,1
Деньги,Кино,36-40,2019-09-24 18:34:00,1
Деньги,Кино,36-40,2019-09-24 18:53:00,1
Деньги,Кино,36-40,2019-09-24 18:54:00,5
Деньги,Кино,36-40,2019-09-24 18:55:00,12
Деньги,Кино,36-40,2019-09-24 18:56:00,38
Деньги,Кино,36-40,2019-09-24 18:57:00,25
Деньги,Кино,36-40,2019-09-24 18:58:00,38
Деньги,Кино,36-40,2019-09-24 18:59:00,25
Деньги,Кино,36-40,2019-09-24 19:00:00,7
Деньги,Кино,41-45,2019-09-24 18:32:00,1
Деньги,Кино,41-45,2019-09-24 18:35:00,1
Деньги,Кино,41-45,2019-09-24 18:55:00,5
Деньги,Кино,41-45,2019-09-24 18:56:00,7
Деньги,Кино,41-45,2019-09-24 18:57:00,4
Деньги,Кино,41-45,2019-09-24 18:58:00,15
Деньги,Кино,41-45,2019-09-24 18:59:00,6
Деньги,Кино,41-45,2019-09-24 19:00:00,1
Деньги,Кино,45+,2019-09-24 18:31:00,1
Деньги,Кино,45+,2019-09-24 18:53:00,2
Деньги,Кино,45+,2019-09-24 18:54:00,1
Деньги,Кино,45+,2019-09-24 18:55:00,2
Деньги,Кино,45+,2019-09-24 18:56:00,8
Деньги,Кино,45+,2019-09-24 18:57:00,5
Деньги,Кино,45+,2019-09-24 18:58:00,15
Деньги,Кино,45+,2019-09-24 18:59:00,8
Деньги,Кино,45+,2019-09-24 19:00:00,4
Деньги,Музыка,18-25,2019-09-24 18:53:00,1
Деньги,Музыка,18-25,2019-09-24 18:54:00,1
Деньги,Музыка,18-25,2019-09-24 18:55:00,3
Деньги,Музыка,18-25,2019-09-24 18:57:00,2
Деньги,Музыка,18-25,2019-09-24 18:58:00,1
Деньги,Музыка,18-25,2019-09-24 18:59:00,2
Деньги,Музыка,18-25,2019-09-24 19:00:00,1
Деньги,Музыка,26-30,2019-09-24 18:55:00,1
Деньги,Музыка,26-30,2019-09-24 18:57:00,2
Деньги,Музыка,26-30,2019-09-24 18:58:00,1
Деньги,Музыка,26-30,2019-09-24 18:59:00,1
Деньги,Музыка,31-35,2019-09-24 18:30:00,1
Деньги,Музыка,31-35,2019-09-24 18:55:00,1
Деньги,Музыка,31-35,2019-09-24 18:56:00,1
Деньги,Музыка,31-35,2019-09-24 18:58:00,1
Деньги,Музыка,31-35,2019-09-24 18:59:00,2
Деньги,Музыка,31-35,2019-09-24 19:00:00,1
Деньги,Музыка,36-40,2019-09-24 18:28:00,1
